country;mobile_per_100capita
Philippines;99.25
Kenya;71.45
El Salvador;142.02
Cambodia;127.74
Pakistan;64.69
Peru;99.49
Colombia;108.46
Uganda;48.62
Tajikistan;84.03
Ecuador;108.1
Paraguay;103.8
Nicaragua;93.34
India;73.22
Vietnam;146.49
Nigeria;66.29
Bolivia;92.26
Lebanon;96.61
Armenia;108.5
Palestine;97.8
Samoa;87.19
Guatemala;147.44
Rwanda;46.68
Mali;94.31
Honduras;88.83
Indonesia;113.4
Kyrgyzstan;123.71
Togo;50.54
Mexico;87.66
Sierra Leone;40.28
Tanzania;58.02
Ghana;103.92
Jordan;138.03
Zimbabwe;99.96
Madagascar;38.92
Liberia;61.58
Haiti;62.18
Mozambique;34.48
